"ID","Nombre del negocio","Ciudad/departamento","Tipo de negocio","WhatsApp/teléfono","Facebook/Instagram/TikTok/web","Dueño o encargado","Señal de demanda","Problema probable","Prioridad A/B/C","Fuente del dato","Estado","Observación"
"AT16-011","Sala de Belleza y Barbería El Centro No. 1","Tela / Atlántida","Salon y barberia","No encontrado","No encontrado","No encontrado","Ficha publica combinada de sala de belleza y barberia","Ordenar agenda por servicio y tipo de cliente","A","OpenStreetMap / Overpass - https://www.openstreetmap.org/node/4199830770","Pendiente","Buen encaje por combinar barberia y belleza."
"AT16-012","Sala de Belleza Sandra's","Tela / Atlántida","Salon de belleza","No encontrado","No encontrado","No encontrado","Ficha publica de sala de belleza en Tela","Responder disponibilidad horarios y servicios","B","OpenStreetMap / Overpass - https://www.openstreetmap.org/node/4201242853","Pendiente","Contacto no encontrado en fuente consultada."
"AT16-013","Barbería Social","Tela / Atlántida","Barberia","No encontrado","No encontrado","No encontrado","Ficha publica de barberia en Tela","Responder horarios ubicacion servicios y citas","B","OpenStreetMap / Overpass - https://www.openstreetmap.org/node/4201242858","Pendiente","Contacto no encontrado en fuente consultada."
"AT16-014","Barbería Anyelo","Tela / Atlántida","Barberia","No encontrado","No encontrado","No encontrado","Ficha publica de barberia en Tela","Responder consultas de ubicacion precios horarios y disponibilidad","B","OpenStreetMap / Overpass - https://www.openstreetmap.org/node/4201243377","Pendiente","Contacto no encontrado en fuente consultada."
"AT16-015","Melissa Beauty Salon","Tela / Atlántida","Salon de belleza","No encontrado","No encontrado","No encontrado","Ficha publica de beauty salon en Tela","Ordenar citas por servicio y responder consultas","B","OpenStreetMap / Overpass - https://www.openstreetmap.org/node/4201307331","Pendiente","Contacto no encontrado en fuente consultada."
"AT16-016","Diva's Salon","Tela / Atlántida","Salon / hairdresser","No encontrado","No encontrado","No encontrado","Ficha publica de hairdresser en Tela","Responder horarios servicios y disponibilidad","C","OpenStreetMap / Overpass - https://www.openstreetmap.org/node/4201307342","Pendiente","Nombre en fuente aparece como Diva's Silon; validar escritura antes de outreach."
"AT16-017","Sary's","Tela / Atlántida","Salon de belleza","No encontrado","No encontrado","No encontrado","Ficha publica de negocio beauty en Tela","Ordenar citas y consultas frecuentes","C","OpenStreetMap / Overpass - https://www.openstreetmap.org/node/4205990294","Pendiente","Contacto no encontrado en fuente consultada."
"AT16-018","Barbería Mary","Tela / Atlántida","Barberia","No encontrado","No encontrado","No encontrado","Ficha publica de barberia en Tela","Responder horarios servicios y disponibilidad","B","OpenStreetMap / Overpass - https://www.openstreetmap.org/way/419991756","Pendiente","Contacto no encontrado en fuente consultada."
"AT16-019","Barbería Lesly","Tela / Atlántida","Barberia","No encontrado","No encontrado","No encontrado","Ficha publica de barberia en Tela","Responder consultas de ubicacion servicios y citas","B","OpenStreetMap / Overpass - https://www.openstreetmap.org/way/420889975","Pendiente","Contacto no encontrado en fuente consultada."
"AT16-020","Sala de Belleza Daysi","Tela / Atlántida","Salon de belleza","No encontrado","No encontrado","No encontrado","Ficha publica de sala de belleza en Tela","Responder disponibilidad horarios servicios y citas","B","OpenStreetMap / Overpass - https://www.openstreetmap.org/way/420895235","Pendiente","Contacto no encontrado en fuente consultada."
