"id","nombre_negocio","ciudad_departamento","tipo_negocio","telefono_whatsapp","red_social_web","canal_disponible","prioridad_A_B_C","señal_demanda","problema_probable","oportunidad_barberai","estado","fuente_o_evidencia","observaciones"
"M16-010","Los Profesionales","Tegucigalpa / Francisco Morazan","Peluqueria / hairdresser","No encontrado publicamente","No encontrado publicamente","no encontrado","C","","Responder disponibilidad horarios y ubicacion","Responder disponibilidad horarios y ubicacion","Pendiente","OpenStreetMap / Overpass - https://www.openstreetmap.org/node/3153483431",""
"M16-011","Wow Hair Beauty Salon","Tegucigalpa / Francisco Morazan","Salon de belleza","No encontrado publicamente","No encontrado publicamente","no encontrado","B","","Ordenar consultas de servicios horarios precios y citas","Ordenar consultas de servicios horarios precios y citas","Pendiente","OpenStreetMap / Overpass - https://www.openstreetmap.org/node/3155564869",""
"M16-012","Espacio Vital","Tegucigalpa / Francisco Morazan","Beauty / spa","No encontrado publicamente","No encontrado publicamente","no encontrado","B","","Responder horarios servicios de belleza y agendar por disponibilidad","Responder horarios servicios de belleza y agendar por disponibilidad","Pendiente","OpenStreetMap / Overpass - https://www.openstreetmap.org/node/4209566862",""
"M16-013","Star Cuts","Tegucigalpa / Francisco Morazan","Barberia / hairdresser","No encontrado publicamente","No encontrado publicamente","no encontrado","B","","Responder precios horarios ubicacion y reservas","Responder precios horarios ubicacion y reservas","Pendiente","OpenStreetMap / Overpass - https://www.openstreetmap.org/node/4209766354",""
"M16-014","Lucy's Beauty Salon","Tegucigalpa / Francisco Morazan","Salon de belleza","No encontrado publicamente","No encontrado publicamente","no encontrado","C","","Ordenar citas por servicio y consultas de disponibilidad","Ordenar citas por servicio y consultas de disponibilidad","Pendiente","OpenStreetMap / Overpass - https://www.openstreetmap.org/node/4210910584",""
"M16-015","Yesenia's","Tegucigalpa / Francisco Morazan","Salon de belleza","No encontrado publicamente","No encontrado publicamente","no encontrado","B","","Responder horario temprano disponibilidad servicios y citas","Responder horario temprano disponibilidad servicios y citas","Pendiente","OpenStreetMap / Overpass - https://www.openstreetmap.org/node/13235718636",""
"M16-016","The Barber Shop","San Pedro Sula / Cortes","Barberia unisex","No encontrado publicamente","https://www.facebook.com/TheBarberShopUnisex","Facebook","A","","Convertir mensajes de Facebook en citas por WhatsApp o demo","Convertir mensajes de Facebook en citas por WhatsApp o demo","Pendiente","OpenStreetMap / Overpass - https://www.openstreetmap.org/node/7741332033",""
"M16-017","Billy's Barber Shop","San Pedro Sula / Cortes","Barberia","No encontrado publicamente","No encontrado publicamente","no encontrado","B","","Responder disponibilidad horarios precios y ubicacion","Responder disponibilidad horarios precios y ubicacion","Pendiente","OpenStreetMap / Overpass - https://www.openstreetmap.org/way/420836251",""
"M16-018","Barberia Eddie","San Pedro Sula / Cortes","Barberia","No encontrado publicamente","No encontrado publicamente","no encontrado","A","","Atender consultas de horario extendido y organizar citas","Atender consultas de horario extendido y organizar citas","Pendiente","OpenStreetMap / Overpass - https://www.openstreetmap.org/way/669256269",""
"M16-019","Don Barbero","San Pedro Sula / Cortes","Barberia","No encontrado publicamente","No encontrado publicamente","no encontrado","B","","Responder ubicacion servicios horarios y disponibilidad","Responder ubicacion servicios horarios y disponibilidad","Pendiente","OpenStreetMap / Overpass - https://www.openstreetmap.org/node/4232544191",""
"M16-020","Barberia Navas","San Pedro Sula / Cortes","Barberia","No encontrado publicamente","No encontrado publicamente","no encontrado","B","","Ordenar citas y consultas frecuentes de servicios","Ordenar citas y consultas frecuentes de servicios","Pendiente","OpenStreetMap / Overpass - https://www.openstreetmap.org/way/420349393",""
"M16-021","Barberia Alfa Omega","San Pedro Sula / Cortes","Barberia","No encontrado publicamente","No encontrado publicamente","no encontrado","C","","Responder horarios precios ubicacion y citas","Responder horarios precios ubicacion y citas","Pendiente","OpenStreetMap / Overpass - https://www.openstreetmap.org/way/420355305",""
"M16-022","Barberia y Sala de Belleza","San Pedro Sula / Cortes","Barberia y salon","No encontrado publicamente","No encontrado publicamente","no encontrado","B","","Ordenar agenda por tipo de servicio y responsable","Ordenar agenda por tipo de servicio y responsable","Pendiente","OpenStreetMap / Overpass - https://www.openstreetmap.org/way/420355309",""
"M16-023","Barberia Shalom","San Pedro Sula / Cortes","Barberia","No encontrado publicamente","No encontrado publicamente","no encontrado","C","","Responder solicitudes de cita horarios y ubicacion","Responder solicitudes de cita horarios y ubicacion","Pendiente","OpenStreetMap / Overpass - https://www.openstreetmap.org/way/420385092",""
"M16-024","Barberia Estilos","San Pedro Sula / Cortes","Barberia","No encontrado publicamente","No encontrado publicamente","no encontrado","B","","Atender preguntas frecuentes y ordenar citas","Atender preguntas frecuentes y ordenar citas","Pendiente","OpenStreetMap / Overpass - https://www.openstreetmap.org/node/4203164815",""
"M16-025","Lopez Barbershop","San Pedro Sula / Cortes","Barberia","No encontrado publicamente","No encontrado publicamente","no encontrado","C","","Responder ubicacion horarios servicios y reservas","Responder ubicacion horarios servicios y reservas","Pendiente","OpenStreetMap / Overpass - https://www.openstreetmap.org/node/6571967487",""
"CH16-001","Roxi","Choluteca / Choluteca","Salon de belleza","No encontrado publicamente","No encontrado publicamente","no encontrado","C","Ficha publica de OpenStreetMap como negocio de belleza","Responder horarios ubicacion servicios y disponibilidad","Responder horarios ubicacion servicios y disponibilidad","Pendiente","OpenStreetMap / Overpass - https://www.openstreetmap.org/node/3165965168","Choluteca tuvo pocos resultados publicos; requiere investigacion manual adicional."
"CH16-002","barberia enrique","Choluteca / Choluteca","Barberia","No encontrado publicamente","No encontrado publicamente","no encontrado","B","Ficha publica de OpenStreetMap como hairdresser en 5a Avenida O","Responder horarios ubicacion servicios y citas","Responder horarios ubicacion servicios y citas","Pendiente","OpenStreetMap / Nominatim - https://www.openstreetmap.org/node/11101836605","Choluteca tuvo pocos resultados publicos; requiere investigacion manual adicional."
"AT16-001","Barberia Omar","La Ceiba / Atlantida","Barberia","Pendiente de verificar","https://www.facebook.com/BarberiaOmar/","Facebook","A","Ficha publica con Facebook visible en OpenStreetMap","Convertir mensajes de Facebook en consultas por WhatsApp o demo","Convertir mensajes de Facebook en consultas por WhatsApp o demo","Pendiente","OpenStreetMap / Overpass - https://www.openstreetmap.org/node/6925731934","Contacto social visible; validar WhatsApp antes de outreach."
"AT16-002","Beauty Studio KR","La Ceiba / Atlantida","Beauty studio","No encontrado publicamente","No encontrado publicamente","no encontrado","B","Ficha publica con direccion Monte Carlo y categoria beauty","Ordenar citas por servicios de belleza y disponibilidad","Ordenar citas por servicios de belleza y disponibilidad","Pendiente","OpenStreetMap / Overpass - https://www.openstreetmap.org/node/5525611496","Contacto no encontrado en fuente consultada."
"AT16-003","Sala de Belleza Loreal","La Ceiba / Atlantida","Salon de belleza","No encontrado publicamente","No encontrado publicamente","no encontrado","B","Ficha publica en Avenida Bastilla con categoria beauty","Responder horarios servicios precios y disponibilidad","Responder horarios servicios precios y disponibilidad","Pendiente","OpenStreetMap / Overpass - https://www.openstreetmap.org/node/5654674672","Contacto no encontrado en fuente consultada."
"AT16-004","Silvia Beauty Salon","La Ceiba / Atlantida","Salon de belleza","No encontrado publicamente","No encontrado publicamente","no encontrado","B","Ficha publica de hairdresser en La Ceiba","Ordenar citas y consultas frecuentes por servicios","Ordenar citas y consultas frecuentes por servicios","Pendiente","OpenStreetMap / Overpass - https://www.openstreetmap.org/node/4203619194","Contacto no encontrado en fuente consultada."
"AT16-005","Barberia Monicos","La Ceiba / Atlantida","Barberia","No encontrado publicamente","No encontrado publicamente","no encontrado","B","Ficha publica de barberia en La Ceiba","Responder ubicacion horarios servicios y disponibilidad","Responder ubicacion horarios servicios y disponibilidad","Pendiente","OpenStreetMap / Overpass - https://www.openstreetmap.org/node/4205955857","Contacto no encontrado en fuente consultada."
"AT16-006","Dasha Salon","La Ceiba / Atlantida","Salon / hairdresser","No encontrado publicamente","No encontrado publicamente","no encontrado","B","Ficha publica de salon en La Ceiba","Ordenar agenda por servicio y responder disponibilidad","Ordenar agenda por servicio y responder disponibilidad","Pendiente","OpenStreetMap / Overpass - https://www.openstreetmap.org/node/4205955872","Contacto no encontrado en fuente consultada."
"AT16-007","Barberia Galaxia","La Ceiba / Atlantida","Barberia","No encontrado publicamente","No encontrado publicamente","no encontrado","B","Ficha publica de barberia en La Ceiba","Responder horarios ubicacion precios y citas","Responder horarios ubicacion precios y citas","Pendiente","OpenStreetMap / Overpass - https://www.openstreetmap.org/node/4206099389","Contacto no encontrado en fuente consultada."
"AT16-008","Barberia","La Ceiba / Atlantida","Barberia","No encontrado publicamente","No encontrado publicamente","no encontrado","C","Ficha publica generica de barberia en La Ceiba","Responder ubicacion horarios y servicios","Responder ubicacion horarios y servicios","Pendiente","OpenStreetMap / Overpass - https://www.openstreetmap.org/node/4205955896","Nombre generico; validar identidad antes de outreach."
"AT16-009","Jocelin's Beauty Salon","Tela / Atlantida","Salon de belleza","No encontrado publicamente","No encontrado publicamente","no encontrado","B","Ficha publica de beauty salon en Tela","Ordenar citas por servicio y consultas frecuentes","Ordenar citas por servicio y consultas frecuentes","Pendiente","OpenStreetMap / Overpass - https://www.openstreetmap.org/node/4199397724","Contacto no encontrado en fuente consultada."
"AT16-010","Sala de Belleza Karlas","Tela / Atlantida","Salon de belleza","No encontrado publicamente","No encontrado publicamente","no encontrado","B","Ficha publica de sala de belleza en Tela","Responder horarios servicios precios y citas","Responder horarios servicios precios y citas","Pendiente","OpenStreetMap / Overpass - https://www.openstreetmap.org/node/4199830678","Contacto no encontrado en fuente consultada."
"AT16-011","Sala de Belleza y Barberia El Centro No. 1","Tela / Atlantida","Salon y barberia","No encontrado publicamente","No encontrado publicamente","no encontrado","A","Ficha publica combinada de sala de belleza y barberia","Ordenar agenda por servicio y tipo de cliente","Ordenar agenda por servicio y tipo de cliente","Pendiente","OpenStreetMap / Overpass - https://www.openstreetmap.org/node/4199830770","Buen encaje por combinar barberia y belleza."
"AT16-012","Sala de Belleza Sandra's","Tela / Atlantida","Salon de belleza","No encontrado publicamente","No encontrado publicamente","no encontrado","B","Ficha publica de sala de belleza en Tela","Responder disponibilidad horarios y servicios","Responder disponibilidad horarios y servicios","Pendiente","OpenStreetMap / Overpass - https://www.openstreetmap.org/node/4201242853","Contacto no encontrado en fuente consultada."
"AT16-013","Barberia Social","Tela / Atlantida","Barberia","No encontrado publicamente","No encontrado publicamente","no encontrado","B","Ficha publica de barberia en Tela","Responder horarios ubicacion servicios y citas","Responder horarios ubicacion servicios y citas","Pendiente","OpenStreetMap / Overpass - https://www.openstreetmap.org/node/4201242858","Contacto no encontrado en fuente consultada."
"AT16-014","Barberia Anyelo","Tela / Atlantida","Barberia","No encontrado publicamente","No encontrado publicamente","no encontrado","B","Ficha publica de barberia en Tela","Responder consultas de ubicacion precios horarios y disponibilidad","Responder consultas de ubicacion precios horarios y disponibilidad","Pendiente","OpenStreetMap / Overpass - https://www.openstreetmap.org/node/4201243377","Contacto no encontrado en fuente consultada."
"AT16-015","Melissa Beauty Salon","Tela / Atlantida","Salon de belleza","No encontrado publicamente","No encontrado publicamente","no encontrado","B","Ficha publica de beauty salon en Tela","Ordenar citas por servicio y responder consultas","Ordenar citas por servicio y responder consultas","Pendiente","OpenStreetMap / Overpass - https://www.openstreetmap.org/node/4201307331","Contacto no encontrado en fuente consultada."
"AT16-016","Diva's Salon","Tela / Atlantida","Salon / hairdresser","No encontrado publicamente","No encontrado publicamente","no encontrado","C","Ficha publica de hairdresser en Tela","Responder horarios servicios y disponibilidad","Responder horarios servicios y disponibilidad","Pendiente","OpenStreetMap / Overpass - https://www.openstreetmap.org/node/4201307342","Nombre en fuente aparece como Diva's Silon; validar escritura antes de outreach."
"AT16-017","Sary's","Tela / Atlantida","Salon de belleza","No encontrado publicamente","No encontrado publicamente","no encontrado","C","Ficha publica de negocio beauty en Tela","Ordenar citas y consultas frecuentes","Ordenar citas y consultas frecuentes","Pendiente","OpenStreetMap / Overpass - https://www.openstreetmap.org/node/4205990294","Contacto no encontrado en fuente consultada."
"AT16-018","Barberia Mary","Tela / Atlantida","Barberia","No encontrado publicamente","No encontrado publicamente","no encontrado","B","Ficha publica de barberia en Tela","Responder horarios servicios y disponibilidad","Responder horarios servicios y disponibilidad","Pendiente","OpenStreetMap / Overpass - https://www.openstreetmap.org/way/419991756","Contacto no encontrado en fuente consultada."
"AT16-019","Barberia Lesly","Tela / Atlantida","Barberia","No encontrado publicamente","No encontrado publicamente","no encontrado","B","Ficha publica de barberia en Tela","Responder consultas de ubicacion servicios y citas","Responder consultas de ubicacion servicios y citas","Pendiente","OpenStreetMap / Overpass - https://www.openstreetmap.org/way/420889975","Contacto no encontrado en fuente consultada."
"AT16-020","Sala de Belleza Daysi","Tela / Atlantida","Salon de belleza","No encontrado publicamente","No encontrado publicamente","no encontrado","B","Ficha publica de sala de belleza en Tela","Responder disponibilidad horarios servicios y citas","Responder disponibilidad horarios servicios y citas","Pendiente","OpenStreetMap / Overpass - https://www.openstreetmap.org/way/420895235","Contacto no encontrado en fuente consultada."
